datetime,open,high,low,close,volume
2026-01-15 09:37:00,140500,140700,140500,140600,82635
2026-01-15 09:38:00,140600,140700,140400,140500,80005
2026-01-15 09:39:00,140600,140600,140400,140550,65930
2026-01-15 09:40:00,140500,140600,140300,140400,79489
2026-01-15 09:41:00,140400,140500,140200,140400,60377
2026-01-15 09:42:00,140400,140500,140200,140400,35886
2026-01-15 09:43:00,140400,140500,140300,140500,34679
2026-01-15 09:44:00,140400,140500,140400,140400,26334
2026-01-15 09:45:00,140400,140600,140400,140500,76797
2026-01-15 09:46:00,140600,140700,140500,140700,72210
2026-01-15 09:47:00,140700,140900,140600,140800,113830
2026-01-15 09:48:00,140900,140900,140800,140900,61787
2026-01-15 09:49:00,140850,141000,140800,140950,77057
2026-01-15 09:50:00,140950,141500,140900,141400,350376
2026-01-15 09:51:00,141400,141500,141200,141200,120709
2026-01-15 09:52:00,141200,141300,141100,141200,63047
2026-01-15 09:53:00,141200,141300,140900,141000,106413
2026-01-15 09:54:00,141000,141000,140800,140900,60408
2026-01-15 09:55:00,140900,141200,140800,140900,80084
2026-01-15 09:56:00,140950,141100,140700,140900,93201
2026-01-15 09:57:00,140900,141000,140800,141000,27454
2026-01-15 09:58:00,140900,141000,140800,140900,32294
2026-01-15 09:59:00,140950,141200,140900,141100,77300
2026-01-15 10:00:00,141100,141200,140800,140800,98789
2026-01-15 11:31:00,140250,140400,140200,140400,41875
2026-01-15 11:32:00,140300,140400,140100,140350,44077
2026-01-15 11:33:00,140350,140400,140200,140400,23776
2026-01-15 11:34:00,140300,140500,140300,140400,15636
2026-01-15 11:35:00,140400,140500,140300,140300,13848
2026-01-15 11:36:00,140400,140400,140200,140400,34365
2026-01-15 11:37:00,140300,140500,140300,140450,51574
2026-01-15 11:38:00,140500,140600,140400,140400,31977
2026-01-15 11:39:00,140400,140600,140400,140500,30280
2026-01-15 11:40:00,140600,140600,140400,140500,36241
2026-01-15 11:41:00,140550,140600,140500,140600,23649
2026-01-15 11:42:00,140500,140600,140500,140500,10839
2026-01-15 11:43:00,140550,140700,140500,140600,29075
2026-01-15 11:44:00,140700,140700,140600,140600,20621
2026-01-15 11:45:00,140600,140600,140300,140300,40079
2026-01-15 11:46:00,140400,140500,140300,140400,35375
2026-01-15 11:47:00,140400,140500,140400,140400,23675
2026-01-15 11:48:00,140400,140500,140300,140500,17478
2026-01-15 11:49:00,140450,140600,140400,140500,23327
2026-01-15 11:50:00,140500,140600,140500,140600,14068
2026-01-15 11:51:00,140600,140800,140500,140700,67592
2026-01-15 11:52:00,140700,140800,140700,140800,21939
2026-01-15 11:53:00,140700,140800,140700,140800,23161
2026-01-15 11:54:00,140750,140900,140700,140800,40865
2026-01-15 11:55:00,140800,140900,140800,140800,16076
2026-01-15 11:56:00,140800,140900,140800,140800,15962
2026-01-15 11:57:00,140800,140900,140800,140800,18235
2026-01-15 11:58:00,140850,140900,140800,140800,14365
2026-01-15 11:59:00,140800,140900,140800,140800,25472
2026-01-15 12:00:00,140850,140900,140700,140800,25815
2026-01-15 13:31:00,141000,141200,141000,141100,31209
2026-01-15 13:32:00,141200,141300,141100,141200,26351
2026-01-15 13:33:00,141200,141300,141200,141300,20215
2026-01-15 13:34:00,141300,141300,141200,141300,54682
2026-01-15 13:35:00,141300,141400,141200,141300,99169
2026-01-15 13:36:00,141300,141400,141300,141400,31348
2026-01-15 13:37:00,141400,141400,141300,141300,22529
2026-01-15 13:38:00,141400,141500,141300,141450,115708
